snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240816,BASE TABLE,2024-08-16 16:02:49.948000 UTC, 0.00000000842010 , 0.00367398529670 , 0.00022918169968 ,LOGICAL,20/10/2025,16/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240928,BASE TABLE,2024-09-28 11:16:15.126000 UTC, 0.00000000835644 , 0.00367398529670 , 0.00022744885036 ,LOGICAL,20/10/2025,28/09/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240524,BASE TABLE,2024-05-24 11:09:25.182000 UTC, 0.00000000833643 , 0.00367398529670 , 0.00022690424058 ,LOGICAL,20/10/2025,24/05/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240515,BASE TABLE,2024-05-15 10:24:42.976000 UTC, 0.00000000826549 , 0.00367398529670 , 0.00022497335134 ,LOGICAL,20/10/2025,15/05/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20241214,BASE TABLE,2024-12-14 11:16:15.438000 UTC, 0.00000000825730 , 0.00367398529670 , 0.00022475055643 ,LOGICAL,20/10/2025,14/12/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20241215,BASE TABLE,2024-12-15 11:16:14.824000 UTC, 0.00000000825548 , 0.00367398529670 , 0.00022470104645 ,LOGICAL,20/10/2025,15/12/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20231212,BASE TABLE,2023-12-12 17:48:17.364000 UTC, 0.00000000820728 , 0.00367398529670 , 0.00022338903196 ,LOGICAL,20/10/2025,12/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231106,BASE TABLE,2023-11-06 18:22:55.421000 UTC, 0.00000000817545 , 0.00367398529670 , 0.00022252260731 ,LOGICAL,20/10/2025,06/11/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20250817,BASE TABLE,2025-08-17 09:31:48.611000 UTC, 0.00000000817545 , 0.00367398529670 , 0.00022252260731 ,LOGICAL,20/10/2025,17/08/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20250816,BASE TABLE,2025-08-16 09:31:36.775000 UTC, 0.00000000817181 , 0.00367398529670 , 0.00022242358734 ,LOGICAL,20/10/2025,16/08/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240209,BASE TABLE,2024-02-09 15:15:28.322000 UTC, 0.00000000816908 , 0.00367398529670 , 0.00022234932237 ,LOGICAL,20/10/2025,09/02/2024, $0.00 ,
