snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 05:12:01.321000 UTC, 0.0000002 , 0.000076 ,22.31%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20231019,BASE TABLE,2023-10-19 10:41:27.778000 UTC, 0.0000000 , 0.003553 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 11:06:49.093000 UTC, 0.0000001 , 0.003553 ,0.24%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 18:01:19.980000 UTC, 0.0000001 , 0.010443 ,0.07%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 23:03:30.597000 UTC, 0.0000001 , 0.000901 ,1.32%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231019,BASE TABLE,2023-10-20 00:01:14.778000 UTC, 0.0000000 , 0.000901 ,0.55%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231020,BASE TABLE,2023-10-20 02:01:13.792000 UTC, 0.0000000 , 0.000901 ,0.05%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 03:01:18.161000 UTC, 0.0000002 , 0.000076 ,20.80%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 03:01:21.501000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231020,BASE TABLE,2023-10-20 03:01:50.480000 UTC, 0.0000000 , 0.000076 ,0.10%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231020,BASE TABLE,2023-10-20 03:01:53.786000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 04:01:12.996000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231020,BASE TABLE,2023-10-20 04:01:14.825000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 04:01:15.989000 UTC, 0.0000002 , 0.003553 ,0.50%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 04:01:20.545000 UTC, 0.0000000 , 0.003553 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-20 15:12:30.979000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_stg,stg_etst,BASE TABLE,2023-10-20 17:08:20.809000 UTC, 0.0001935 , 0.012854 ,150.52%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_stg,stg_test_2,BASE TABLE,2023-10-20 17:10:40.039000 UTC, 0.0001712 , 0.012854 ,133.17%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231020,BASE TABLE,2023-10-21 00:04:04.123000 UTC, 0.0000001 , 0.000901 ,0.78%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 03:01:22.323000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231021,BASE TABLE,2023-10-21 03:01:58.131000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 03:23:46.589000 UTC, 0.0000003 , 0.000901 ,3.45%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231021,BASE TABLE,2023-10-21 04:01:12.384000 UTC, 0.0000001 , 0.010443 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231021,BASE TABLE,2023-10-21 04:01:14.855000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
